Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-8.345e-09,0,1,1,1,1,1,1,1,1,1,1
-8.265e-09,0,1,1,1,1,1,1,1,1,1,1
-8.185e-09,1,1,1,1,1,1,1,1,1,1,1
-8.105e-09,1,1,1,1,1,1,1,1,1,1,1
-8.025e-09,0,1,1,1,1,1,1,1,1,1,1
-7.945e-09,0,1,1,1,1,1,1,1,1,1,1
-7.865e-09,0,1,1,1,1,1,1,1,1,1,1
-7.785e-09,1,1,1,1,1,1,1,1,1,1,1
-7.705e-09,1,1,1,1,1,1,1,1,1,1,1
-7.625e-09,0,1,1,1,1,1,1,1,1,1,1
-7.545e-09,0,1,1,1,1,1,1,1,1,1,1
-7.465e-09,0,1,1,1,1,1,1,1,1,1,1
-7.385e-09,1,1,1,1,1,1,1,1,1,1,1
-7.305e-09,1,1,1,1,1,1,1,1,1,1,1
-7.225e-09,1,1,1,1,1,1,1,1,1,1,1
-7.145e-09,0,1,1,1,1,1,1,1,1,1,1
-7.065e-09,0,1,1,1,1,1,1,1,1,1,1
-6.985e-09,1,1,1,1,1,1,1,1,1,1,1
-6.905e-09,1,1,1,1,1,1,1,1,1,1,1
-6.825e-09,1,1,1,1,1,1,1,1,1,1,1
-6.745e-09,0,1,1,1,1,1,1,1,1,1,1
-6.665e-09,0,1,1,1,1,1,1,1,1,1,1
-6.585e-09,1,1,1,1,1,1,1,1,1,1,1
-6.505e-09,1,1,1,1,1,1,1,1,1,1,1
-6.425e-09,1,1,1,1,1,1,1,1,1,1,1
-6.345e-09,0,1,1,1,1,1,1,1,1,1,1
-6.265e-09,0,1,1,1,1,1,1,1,1,1,1
-6.185e-09,0,1,1,1,1,1,1,1,1,1,1
-6.105e-09,1,1,1,1,1,1,1,1,1,1,1
-6.025e-09,1,1,1,1,1,1,1,1,1,1,1
-5.945e-09,0,1,1,1,1,1,1,1,1,1,1
-5.865e-09,0,1,1,1,1,1,1,1,1,1,1
-5.785e-09,0,1,1,1,1,1,1,1,1,1,1
-5.705e-09,1,1,1,1,1,1,1,1,1,1,1
-5.625e-09,1,1,1,1,1,1,1,1,1,1,1
-5.545e-09,0,1,1,1,1,1,1,1,1,1,1
-5.465e-09,0,1,1,1,1,1,1,1,1,1,1
-5.385e-09,0,1,1,1,1,1,1,1,1,1,1
-5.305e-09,1,1,1,1,1,1,1,1,1,1,1
-5.225e-09,1,1,1,1,1,1,1,1,1,1,1
-5.145e-09,1,1,1,1,1,1,1,1,1,1,1
-5.065e-09,0,1,1,1,1,1,1,1,1,1,1
-4.985e-09,0,1,1,1,1,1,1,1,1,1,1
-4.905e-09,1,1,1,1,1,1,1,1,1,1,1
